Code,Text
1.1,"Understand, adhere to, and promote professional ethics"
1.2,Understand and apply security concepts
1.3,"Evaluate, apply, and sustain security governance principles"
1.4,"Understand legal, regulatory, and compliance issues that pertain to information security in a holistic context"
1.5,"Understand requirements for investigation types (i.e., administrative, criminal, civil, regulatory, industry standards)"
1.6,"Develop, document, and implement security policy, standards, procedures, and guidelines"
1.7,"Identify, analyze, assess, prioritize, and implement Business Continuity (BC) requirements"
1.8,Contribute to and enforce personnel security policies and procedures
1.9,Understand and apply risk management concepts
1.10,Understand and apply threat modeling concepts and methodologies
1.11,Apply Supply Chain Risk Management (SCRM) concepts
1.12,"Establish and maintain a security awareness, education, and training program 1 . Alyssa is responsible for her organization's security awareness program. She is concerned that changes in technology may make the content outdated. What control can she put in place to protect against this risk? 1 . Gamification 2 . Computer-based training 3 . Content reviews 4 . Live training 2 . Gavin is creating a report for management on the results of his most recent risk assessment. In his report, he would like to identify the remaining level of risk to the organization after adopting security controls. What term best describes this current level of risk? 1 . Inherent risk 2 . Residual risk 3 . Control risk 4 . Mitigated risk 3 . Francine is a security specialist for an online service provider in the United States. She recently received a claim from a copyright holder that a user is storing information on her service that violates the third party's copyright. What law governs the actions that Francine must take? 1 . Copyright Act 2 . Lanham Act 3 . Digital Millennium Copyright Act 4 . Gramm-Leach-Bliley Act 4 . FlyAway Travel has offices in both the European Union (EU) and the United States and transfers personal information between those offices regularly. They have recently received a request from an EU customer requesting that their account be terminated. Under the General Data Protection Regulation (GDPR), which requirement for processing personal information states that individuals may request that their data no longer be disseminated or processed? 1 . The right to access 2 . Privacy by Design 3 . The right to erasure 4 . The right of data portability 5 . After conducting a qualitative risk assessment of her organization, Sally recommends purchasing cybersecurity breach insurance. What type of risk response behavior is she recommending? 1 . Accept 2 . Transfer 3 . Reduce 4 . Reject 6 . Which one of the following elements of information is not considered personally identifiable information that would trigger most United States state data breach laws? 1 . Student identification number 2 . Social Security number 3 . Driver's license number 4 . Credit card number 7 . Renee is purchasing a new software product and is working with the vendor on the negotiation of a license agreement that will specify customized terms of use and a discounted price. What type of agreement would normally be used to document the results of this negotiation? 1 . Perpetual license 2 . Subscription license 3 . Enterprise license agreement 4 . End-user license agreement 8 . Henry recently assisted one of his co-workers in preparing for the CISSP® exam. During this process, Henry disclosed confidential information about the content of the exam, in violation of Canon IV of the Code of Ethics: “Advance and protect the profession.” Who may bring ethics charges against Henry for this violation? 1 . Anyone may bring charges. 2 . Any certified or licensed professional may bring charges. 3 . Only Henry's employer may bring charges. 4 . Only the affected employee may bring charges. 9 . Wanda is working with one of her organization's European Union business partners to facilitate the exchange of customer information. Wanda's organization is located in the United States. What would be the best method for Wanda to use to ensure GDPR compliance? 1 . Binding corporate rules 2 . Privacy Shield 3 . Standard contractual clauses 4 . Safe harbor 10 . Yolanda is the chief privacy officer for a financial institution and is researching privacy requirements related to customer checking accounts. Which one of the following laws is most likely to apply to this situation? 1 ."
"GLBA
2",.
"SOX
3",.
"HIPAA
4",.
"FERPA
11",. Tim's organization recently received a contract to conduct sponsored research as a government contractor. What law now likely applies to the information systems involved in this contract? 1 .
"FISMA
2",. PCI DSS 3 .
