code_family,outfield
DEAECM,Defense Evasion > Abuse Elevation Control Mechanism — Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions.
PEAECM,Privilege Escalation > Abuse Elevation Control Mechanism — Adversaries may circumvent mechanisms designed to control elevate privileges to gain higher-level permissions.
DEATM,Defense Evasion > Access Token Manipulation — Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls.
PEATM,Privilege Escalation > Access Token Manipulation — Adversaries may modify access tokens to operate under a different user or system security context to perform actions and bypass access controls.
IAAR,Impact > Account Access Removal — Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users.
DAD,"Discovery > Account Discovery — Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment."
PAM,Persistence > Account Manipulation — Adversaries may manipulate accounts to maintain and/or elevate access to victim systems.
PEAM,Privilege Escalation > Account Manipulation — Adversaries may manipulate accounts to maintain and/or elevate access to victim systems.
RDAA,Resource Development > Acquire Access — Adversaries may purchase or otherwise acquire an existing access to a target system or network.
RDAI,"Resource Development > Acquire Infrastructure — Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting."
RAS,Reconnaissance > Active Scanning — Adversaries may execute active reconnaissance scans to gather information that can be used during targeting.
CAITM,Collection > Adversary-in-the-Middle — Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as [Network Sniffing](https:
CAAITM,Credential Access > Adversary-in-the-Middle — Adversaries may attempt to position themselves between two or more networked devices using an adversary-in-the-middle (AiTM) technique to support follow-on behaviors such as [Network Sniffing](https:
CACALP,Command and Control > Application Layer Protocol — Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic.
DAWD,Discovery > Application Window Discovery — Adversaries may attempt to get a listing of open application windows.
CACD,Collection > Archive Collected Data — An adversary may compress and/or encrypt data that is collected prior to exfiltration.
CAC,Collection > Audio Capture — An adversary can leverage a computer's peripheral devices (e.
CAC,"Collection > Automated Collection — Once established within a system or network, an adversary may use automated techniques for collecting internal data."
EAE,"Exfiltration > Automated Exfiltration — Adversaries may exfiltrate data, such as sensitive documents, through the use of automated processing after being gathered during Collection."
DEBJ,Defense Evasion > BITS Jobs — Adversaries may abuse BITS jobs to persistently execute code and perform various background tasks.
PBJ,Persistence > BITS Jobs — Adversaries may abuse BITS jobs to persistently execute code and perform various background tasks.
PBOLAE,Persistence > Boot or Logon Autostart Execution — Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems.
PEBOLAE,Privilege Escalation > Boot or Logon Autostart Execution — Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems.
PBOLIS,Persistence > Boot or Logon Initialization Scripts — Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence.
PEBOLIS,Privilege Escalation > Boot or Logon Initialization Scripts — Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence.
DBID,Discovery > Browser Information Discovery — Adversaries may enumerate information about browsers to learn more about compromised environments.
CBSH,"Collection > Browser Session Hijacking — Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques."
CABF,Credential Access > Brute Force — Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.
DEBIOH,Defense Evasion > Build Image on Host — Adversaries may build a container image directly on a host to bypass defenses that monitor for the retrieval of malicious images from a public registry.
CCD,Collection > Clipboard Data — Adversaries may collect data stored in the clipboard from users copying information within or between applications.
ECAC,Execution > Cloud Administration Command — Adversaries may abuse cloud management services to execute commands within virtual machines.
