file_token,file_name,sheet,family,split_strategy,units,rows,unique_codes,example_codes,path
CISSP_2024,CISSP-2024.txt,,PLAIN,hybrid,24841,24841,8,CISSP_2024:PLAIN:ISC2; CISSP_2024:PLAIN; CISSP_2024:PLAIN:CISSP; CISSP_2024:PLAIN:PKI; CISSP_2024:PLAIN:CIA; CISSP_2024:PLAIN:HPC; CISSP_2024:PLAIN:IP; CISSP_2024:PLAIN:WAN,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/CISSP-2024.txt
ISC2_CISSP_2024,ISC2-CISSP-2024.txt,,PLAIN,hybrid,9578,9578,8,ISC2_CISSP_2024:PLAIN:ISC2; ISC2_CISSP_2024:PLAIN; ISC2_CISSP_2024:PLAIN:CISSP; ISC2_CISSP_2024:PLAIN:MA; ISC2_CISSP_2024:PLAIN:NJ; ISC2_CISSP_2024:PLAIN:IT; ISC2_CISSP_2024:PLAIN:BS; ISC2_CISSP_2024:PLAIN:MS,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/ISC2-CISSP-2024.txt
ISO_IEC_27001_2022,ISO_IEC-27001_2022.txt,,ISO27001,hybrid,386,393,2,ISO_IEC_27001_2022:ISO27001; ISO_IEC_27001_2022:ISO27001:A.1,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/ISO_IEC-27001_2022.txt
MASTERINGISCM_2,MasteringISCM-2.txt,,ISO27001,hybrid,3198,3221,8,MASTERINGISCM_2:ISO27001; MASTERINGISCM_2:ISO27001:A.5; MASTERINGISCM_2:ISO27001:A.6; MASTERINGISCM_2:ISO27001:A.8; MASTERINGISCM_2:ISO27001:A.6.8; MASTERINGISCM_2:ISO27001:A.5.25; MASTERINGISCM_2:ISO27001:A.5.26; MASTERINGISCM_2:ISO27001:A.5.27,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/MasteringISCM-2.txt
MASTERINGISCM,MasteringISCM.txt,,ISO27001,hybrid,3224,3245,8,MASTERINGISCM:ISO27001; MASTERINGISCM:ISO27001:A.5; MASTERINGISCM:ISO27001:A.6; MASTERINGISCM:ISO27001:A.8; MASTERINGISCM:ISO27001:A.6.8; MASTERINGISCM:ISO27001:A.5.25; MASTERINGISCM:ISO27001:A.5.26; MASTERINGISCM:ISO27001:A.5.27,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/MasteringISCM.txt
NIST_SP_800_171R3,NIST.SP.800-171r3.txt,,NIST,hybrid,1984,2310,8,NIST_SP_800_171R3:NIST; NIST_SP_800_171R3:CP-09; NIST_SP_800_171R3:SC-13; NIST_SP_800_171R3:AC-02; NIST_SP_800_171R3:AC-03; NIST_SP_800_171R3:AC-04; NIST_SP_800_171R3:AC-05; NIST_SP_800_171R3:AC-06,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/NIST.SP.800-171r3.txt
NIST_SP_800_53R5,NIST.SP.800-53r5.txt,,NIST,hybrid,11577,15342,8,NIST_SP_800_53R5:NIST; NIST_SP_800_53R5:SA-8; NIST_SP_800_53R5:SA-10; NIST_SP_800_53R5:SA-11; NIST_SP_800_53R5:SA-15; NIST_SP_800_53R5:SA-16; NIST_SP_800_53R5:SA-17; NIST_SP_800_53R5:SA-20,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/NIST.SP.800-53r5.txt
ENTERPRISE_ATTACK_V17_1,enterprise-attack-v17.1.xlsx,techniques,ATTACK,mitre,874,874,8,ENTERPRISE_ATTACK_V17_1:DEAECM; ENTERPRISE_ATTACK_V17_1:PEAECM; ENTERPRISE_ATTACK_V17_1:DEATM; ENTERPRISE_ATTACK_V17_1:PEATM; ENTERPRISE_ATTACK_V17_1:IAAR; ENTERPRISE_ATTACK_V17_1:DAD; ENTERPRISE_ATTACK_V17_1:PAM; ENTERPRISE_ATTACK_V17_1:PEAM,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/enterprise-attack-v17.1.xlsx
ENTERPRISE_ATTACK_V17_1,enterprise-attack-v17.1.xlsx,tactics,ATTACK,hybrid,64,64,8,ENTERPRISE_ATTACK_V17_1:PLAIN:ID; ENTERPRISE_ATTACK_V17_1:PLAIN; ENTERPRISE_ATTACK_V17_1:PLAIN:TA0009; ENTERPRISE_ATTACK_V17_1:PLAIN:TA0011; ENTERPRISE_ATTACK_V17_1:PLAIN:TA0006; ENTERPRISE_ATTACK_V17_1:PLAIN:TA0005; ENTERPRISE_ATTACK_V17_1:PLAIN:TA0007; ENTERPRISE_ATTACK_V17_1:PLAIN:TA0002,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/enterprise-attack-v17.1.xlsx#tactics
ENTERPRISE_ATTACK_V17_1,enterprise-attack-v17.1.xlsx,software,ATTACK,hybrid,5153,5153,8,ENTERPRISE_ATTACK_V17_1:PLAIN:ID; ENTERPRISE_ATTACK_V17_1:PLAIN; ENTERPRISE_ATTACK_V17_1:PLAIN:RAT; ENTERPRISE_ATTACK_V17_1:PLAIN:MSTIC; ENTERPRISE_ATTACK_V17_1:PLAIN:AD; ENTERPRISE_ATTACK_V17_1:PLAIN:ABK; ENTERPRISE_ATTACK_V17_1:PLAIN:APT28; ENTERPRISE_ATTACK_V17_1:PLAIN:ESET,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/enterprise-attack-v17.1.xlsx#software
